review_id,product_id,review,rating
R78910,138347,"Really nice kurti.Cloth is comfortable, looks fancy and fashionable.I am happy with the product.",5
R16029,138347,Lovely 😍️,5
R10862,138347,This Product is good ...i really like it...😍,4
R35315,138347,Awesome metrial,5
R24228,138347,Too good 🤩,5
R28516,138347,Beautiful 🤘,4
R64632,138347,Very nice 👌,4
R97144,138347,Beautiful ❤️ loving it,5
R21671,138347,It's fantastic stuff is also very good material I love it ❤ this size small,4
R77416,138347,Very very nice dress   love it❤️👌👌❤️,5
R26843,138347,Very beautiful ❤️,5
R61889,138347,Good products,5
R17175,138347,Amazing 😍😍,5
R82848,138347,Nice kurti,5
R87347,138347,Best kurti ever go for it amazing kurti look like classy I loved it very well❤️❤️,5
R26266,138347,Wonderfull,5
R26195,138347,Awsm product❤❤❤❤I'm so...Happy🤗🤗🤗🤗,5
R29737,138347,Good fitting and fabulous fabric,4
R43148,138347,"Nic dress,good fitting 🥰...",4
R28960,138347,Highly recommended,5
R38105,138347,Very good,5
R16968,138347,Nice kurti 👌🏼👌🏼👌🏼👌🏼👌🏼👌🏼👌🏼I just love it,5
R34661,138347,Nice dress 👌,4
R90021,138347,Nice comfortable dress,5
R59553,138347,Nice .  Fabric is very good Comfortable Go for it,5
R16458,138347,Very nice,4
R63283,138347,Really beautiful,5
R43322,138347,Most  amazing product,5
R37207,138347,Osm kurti,5
R42071,138347,Awesome looks 🥰🥰🥰NYC fabric quality  go for it 👍🤩🤩🤩🤩,5
R31801,138347,Very comfortable and very nice 😊,5
R35951,138347,It's good 👍,3
R49010,138347,I love this 😍,4
R56732,138347,So lovely,5
R67931,138347,Osm kurti...,5
R11700,138347,Very nice product quality superb 🥰🥰🥰🥰,5
R91722,138347,"Beautiful dress at this price,, go for it ...",4
R13329,138347,Very nice 😍😍😍,5
R34648,138347,Superb dress like it.,5
R56097,138347,Nice kurti,5
R86227,138347,Sprrr... I loved it.,5
R93779,138347,Good 💖,4
R52892,138347,Love this dress,5
R76255,138347,"Very nice kurti, fitting good 🙂👍I love it......",4
R21670,138347,Too good...go for it,5
R20802,138347,Awesome product,5
R96275,138347,I loved it perfect fit I ordered L size thank you,5
R70397,138347,Just amazing ❤️ material quality is also very good..,5
R44690,138347,I like the product very much....go for it😍,4
R46215,138347,Beautiful 🌸,5
R20078,138347,Really very nice dress... The fabric is osm and very comfortable.. Loved it.. Don't think twice just buy it.. 😍,5
R48560,138347,Nice product,4
R19439,138347,Just awesome 👌,5
R55311,138347,Material is so good.....I loved it..🤩 thanks Flipkart..👌,5
R93924,138347,Best outfit i like it,5
R23081,138347,Really tooo good..u will purchase and feel good..thick reon..,5
R69237,138347,Very nice i love it😊❤❤❤,4
R84948,138347,Amazing fabric and beautiful dress 😻,5
R65051,138347,Nice,5
R22237,138347,Nice,4
R70715,138347,"Awesome dress🤩i really love the produt, don't think just go for it🥰",5
R91970,138347,Not bad,5
R34298,138347,The product is awsom 👌👌👌 thank you flipkart 🥰❤️,5
R92374,138347,"Absolutely worth of money💟,,,,too good quality of dress✌️ fastest delivery (3 days advance) ...osm can go for it💯",5
R56908,138347,Beautiful kurta i loved it nd hosm,5
R79811,138347,Amaging 🥰🥰Love it's,5
R54514,138347,Beautiful quality and soft cotton with comfortable must buy,5
R80558,138347,Nics cotton,5
R71871,138347,Nice 😘😍🥰,4
R91672,138347,Supper,5
R92989,138347,Very nice,4
R51964,138347,"I love this kurti ,,,, nice fitting , comfortable",5
R59474,138347,I love this dress 👗... thank you flipkart 🥰,5
R90784,138347,Good quality dress very comfortable perfect fit. Must buy little disapppinted bz after every wash color fade .,4
R76485,138347,Really osm,5
R59580,138347,Purfect fit super,5
R39023,138347,Superb product ☺️☺️,5
R61970,138347,So beautiful ❤️❤️,5
R33021,138347,This product fits so well and overall look is so good,5
R67146,138347,Beautiful,4
R72069,138347,Good looking dress😍😍,4
R19456,138347,Best quality product...must buy!!!,5
R79031,138347,Nice product..I like it,4
R96304,138347,Awesome 👌,4
R31521,138347,Too good 😊,5
R86704,138347,Look so beautiful ❤️,5
R33927,138347,Loved this...,5
R75010,138347,Very very nice dress n cloth quality is good..size is just comfortable..i like it very much..go for it👍,5
R71216,138347,It's pretty Nd too good.....,4
R64674,138347,Quility is too good nd fitting also.. loved this product,5
R95102,138347,Looks gracious,4
R98643,138347,"Product is as it is , which is shown in the image...Price worthy product ..",4
R31232,138347,Must buy...nice product..good quality,5
R60625,138347,Loved it 😍😊,5
R52075,138347,Fabric quality is best....Patern is also best...All over is Good 👍 Price is best...Thank you Flipkart,4
R45056,138347,Just loved this dress Thank you Flipkart for this awesome product,5
R20390,138347,Awesome 👗..loved it🤩 correct fit👍,4
R59330,138347,Too good tq so much Flipkart it's very nice best quality,5
R77066,138347,Thank uh!😇 flipkart,5
R77306,138347,"Perfect fitting, clothes are very nice and I am very satisfied to this product...😍❤️",5
R24950,908900,"Really nice kurti.Cloth is comfortable, looks fancy and fashionable.I am happy with the product.",5
R32427,908900,Lovely 😍️,5
R41503,908900,This Product is good ...i really like it...😍,4
R92000,908900,Awesome metrial,5
R81005,908900,Too good 🤩,5
R84917,908900,Beautiful 🤘,4
R56081,908900,Very nice 👌,4
R88720,908900,Beautiful ❤️ loving it,5
R51567,908900,It's fantastic stuff is also very good material I love it ❤ this size small,4
R24987,908900,Very very nice dress   love it❤️👌👌❤️,5
R46778,908900,Very beautiful ❤️,5
R36794,908900,Good products,5
R39347,908900,Amazing 😍😍,5
R81348,908900,Nice kurti,5
R62971,908900,Best kurti ever go for it amazing kurti look like classy I loved it very well❤️❤️,5
R38515,908900,Wonderfull,5
R12100,908900,Awsm product❤❤❤❤I'm so...Happy🤗🤗🤗🤗,5
R70857,908900,Good fitting and fabulous fabric,4
R64823,908900,"Nic dress,good fitting 🥰...",4
R16366,908900,Highly recommended,5
R50461,908900,Very good,5
R91120,908900,Nice kurti 👌🏼👌🏼👌🏼👌🏼👌🏼👌🏼👌🏼I just love it,5
R23866,908900,Nice dress 👌,4
R41010,908900,Nice comfortable dress,5
R67540,908900,Nice .  Fabric is very good Comfortable Go for it,5
R20916,908900,Very nice,4
R82469,908900,Really beautiful,5
R71901,908900,Most  amazing product,5
R35381,908900,Osm kurti,5
R71192,908900,Awesome looks 🥰🥰🥰NYC fabric quality  go for it 👍🤩🤩🤩🤩,5
R99808,908900,Very comfortable and very nice 😊,5
R27534,908900,It's good 👍,3
R53754,908900,I love this 😍,4
R47396,908900,So lovely,5
R74630,908900,Osm kurti...,5
R79937,908900,Very nice product quality superb 🥰🥰🥰🥰,5
R56158,908900,"Beautiful dress at this price,, go for it ...",4
R37035,908900,Very nice 😍😍😍,5
R87195,908900,Superb dress like it.,5
R82576,908900,Nice kurti,5
R41093,908900,Sprrr... I loved it.,5
R90504,908900,Good 💖,4
R71039,908900,Love this dress,5
R56895,908900,"Very nice kurti, fitting good 🙂👍I love it......",4
R54597,908900,Too good...go for it,5
R83109,908900,Awesome product,5
R21082,908900,I loved it perfect fit I ordered L size thank you,5
R54038,908900,Just amazing ❤️ material quality is also very good..,5
R93042,908900,I like the product very much....go for it😍,4
R75571,908900,Beautiful 🌸,5
R90102,908900,Really very nice dress... The fabric is osm and very comfortable.. Loved it.. Don't think twice just buy it.. 😍,5
R70331,908900,Nice product,4
