review_id,product_id,review,rating
R41391,P66385,The colour and the quality of this product was great .,5
R48903,P66385,"One of the best dress I have ordered. Beautiful design and high quality material used in manufacturing. Fabric has no stretch, It is ultra soft and very comfortable to body.",5
R44341,P66385,so beautiful. perfect fitting. perfect shape. very pretty color. same as shown in pic.. just go for it. best for party and date and  also length of this dress is perfect......you have to manage with high heels.. 👠... Lovely dress..,5
R23279,P66385,Beautiful dress with perfect fitting and beautiful pattern I just loved it . Just go for it this dress you can wear at any occasion and length is also perfect .Dont think twice go for it .,5
R89588,P66385,The quality of the product is good. Good Fabric Material.,5
R48511,P66385,I like the fitting. Quality of the fabric is good. Nice color and looks awesome.,5
R39635,P66385,The quality of this dress is so goodIt fits very well and the fabric of good too.,5
R59062,P66385,"Liked it so much. Cool dress. Western vibe. Super pattern. Fabric is awesome. Belt also given. Must try with all colours. Size S, is proper.",5
R36847,P66385,What a beautiful dress. Gifted this dress to my wife on her birthday and she loved it. Material of the dress is superb. Fit is also super comfy,5
R95314,P66385,Nice dress... Must buy,5
R32761,P48819,"Really nice kurti.Cloth is comfortable, looks fancy and fashionable.I am happy with the product.",5
R97959,P48819,Lovely 😍️,5
R97059,P48819,This Product is good ...i really like it...😍,4
R11090,P48819,Awesome metrial,5
R98019,P48819,Very nice 👌,4
R95797,P48819,Beautiful ❤️ loving it,5
R56191,P48819,Beautiful 🤘,4
R68400,P48819,Too good 🤩,5
R61064,P48819,It's fantastic stuff is also very good material I love it ❤ this size small,4
R53032,P48819,Very very nice dress   love it❤️👌👌❤️,5
R36201,P12111,"Really nice kurti.Cloth is comfortable, looks fancy and fashionable.I am happy with the product.",5
R34660,P12111,Lovely 😍️,5
R82313,P12111,This Product is good ...i really like it...😍,4
R60195,P12111,Awesome metrial,5
R96011,P12111,Very nice 👌,4
R14860,P12111,Beautiful ❤️ loving it,5
R94466,P12111,Beautiful 🤘,4
R24288,P12111,It's fantastic stuff is also very good material I love it ❤ this size small,4
R26409,P12111,Very very nice dress   love it❤️👌👌❤️,5
R20449,P12111,Very beautiful ❤️,5
R61939,P10392,The product was same as shown in the pictures. The quality of cloth and colour was good . The length and size was correct and I liked it very much😍😍...just go for it...💫,5
R43349,P10392,Wow it's soooooooooo soooooooooo beautiful tq so much Flipkart 😊 must buy without thinking 🥰,5
R11772,P10392,"Very nice dress...looks, design, colour everything is awesome😊",5
R28266,P10392,Quality is so good,5
R72223,P10392,Awesome dress ...perfect colour and material as shown in the picture,5
R63112,P10392,I like this a lot😘🥰Thank you flipkart,4
R83141,P10392,Excellent product,5
R15497,P10392,Loved it,5
R96268,P10392,Not good,4
R88784,P91828,Good one,4
R62525,P91828,Satisfied 👍,3
R63312,P91828,This cloth was fine...it was of good quality but its printing was smelling strange.,4
R59375,P91828,Nice dress  😎,5
R66396,P91828,Dress was awesome.,3
R66527,P91828,Good product,4
R20171,P91828,My first black beautiful dress🥰,5
R11364,P91828,Worth the money 😊,4
R57738,P91828,Thanks flipkart........ Nice clothes,5
R76842,P58597,"Really nice kurti.Cloth is comfortable, looks fancy and fashionable.I am happy with the product.",5
R74319,P58597,Lovely 😍️,5
R11907,P58597,This Product is good ...i really like it...😍,4
R87627,P58597,Awesome metrial,5
R63225,P58597,Very nice 👌,4
R28680,P58597,Beautiful ❤️ loving it,5
R58722,P58597,Beautiful 🤘,4
R53609,P58597,Too good 🤩,5
R85635,P58597,It's fantastic stuff is also very good material I love it ❤ this size small,4
R74017,P58597,Very very nice dress   love it❤️👌👌❤️,5
R72785,P40358,"This dress looks pretty, satisfied with this product.",5
R75209,P40358,Amazing...Very comfortable,5
R71885,P40358,So comfortable dress in  pregnancy time....,4
R99818,P40358,Perfect 👍😊,5
R34835,P40358,Very decent look❤️,5
R52491,P40358,Nice one,4
R60643,P40358,Very beautiful,5
R53295,P40358,Amazing  😍😍♥️♥️,5
R59785,P40358,I loved it a lott...nyc cloth..superr👍👍❤,5
R94320,P40358,lovley😍😍,5
R80954,P52372,What to say ..😍 just go for it,5
R58052,P52372,I ordered S size (crepe fabric)The dress fits me perfectly. It’s light weight also comfortable to wear 🌼,5
R99369,P52372,Go for it ..Very pretty dress More thn expectations..i wear my maternity shoot so so so pretty flowy i love it,5
R89881,P52372,Nice dress,5
R55530,P52372,Very nice dress,5
R28245,P52372,It's very nice dress,5
R24777,P52372,Must buy,4
R88225,P52372,Just loved it ❤️,5
R99778,P52372,"Bestttttt dress ever, a good clothe and great fit 😊❤️❤️",5
R79019,P52372,"It's a very pretty dress, perfect for beach vacay or any kind of photoshoot. It's same as the displayed image. Go for it.",5
R95144,P68815,Fabric is good ..........,5
R26940,P68815,nice dress👗,5
